Name,URL,Price
2007 TOYOTA HARRIER 2.4 TURBO(A) 240G F/LOADED R/CAM 07,https://www.motortrader.com.my/usedcar/19061200074/2007-toyota-harrier-2-4-turbo-a-240g-f-loaded-r-cam-07/index.html,"48,500"
2006 TOYOTA HILUX 2.5 G 4WD (A) TURBO DIESEL TIPTOP,https://www.motortrader.com.my/usedcar/19022200146/2006-toyota-hilux-2-5-g-4wd-a-turbo-diesel-tiptop/index.html,"36,900"
2016 PORSCHE MACAN 2.0 TURBOCHARGED FROM PORSCHE MALAYSIA,https://www.motortrader.com.my/usedcar/19071200150/2016-porsche-macan-2-0-turbocharged-from-porsche-malaysia/index.html,"335,000"
2006 MERCEDES-BENZ E-CLASS E240 Full Spec Avantgarde Nice Plate 3888 One Owner,https://www.motortrader.com.my/usedcar/19072000075/2006-mercedes-benz-e-class-e240-full-spec-avantgarde-nice-plate-3888-one-owner/index.html,"31,888"
2016 BMW 1 SERIES Bmw 120I M SPORT F/LIFT 1.6 A WRRTY 2021 F/SERVICE,https://www.motortrader.com.my/usedcar/19070300666/2016-bmw-1-series-bmw-120i-m-sport-f-lift-1-6-a-wrrty-2021-f-service/index.html,"120,900"
2011 MERCEDES-BENZ C-CLASS AMG C200 1.8 CKD(A)FULL LEATHER 2010,https://www.motortrader.com.my/usedcar/19072000007/2011-mercedes-benz-c-class-amg-c200-1-8-ckd-a-full-leather-2010/index.html,"54,600"
2012 HYUNDAI I10 1.1 (A)NEW FACELIFT ORI LOW MILES 2012L,https://www.motortrader.com.my/usedcar/19071800038/2012-hyundai-i10-1-1-a-new-facelift-ori-low-miles-2012l/index.html,"13,350"
2012 PROTON INSPIRA PROTON INSPIRA 2.0 EXECUTIVE (A)DVD REVCAM LEATHER,https://www.motortrader.com.my/usedcar/19070800067/2012-proton-inspira-proton-inspira-2-0-executive-a-dvd-revcam-leather/index.html,"28,350"
2009 TOYOTA ALPHARD 240G (A) OTR PRICE NO MORE PROCESSING FEE 2009/14 MODEL,https://www.motortrader.com.my/usedcar/19072000072/2009-toyota-alphard-240g-a-otr-price-no-more-processing-fee-2009-14-model/index.html,"109,333"
2006 MERCEDES-BENZ E-CLASS E240 1 OWNER ORI PAINT TIPTOP CONDITION,https://www.motortrader.com.my/usedcar/19072000067/2006-mercedes-benz-e-class-e240-1-owner-ori-paint-tiptop-condition/index.html,"31,888"
2017 KIA RIO 1.4 SX FACELIFE FULL SERVICE RECORD ORIGINAL MILEAGE 1 LADY OWNER ONLY,https://www.motortrader.com.my/usedcar/19071900079/2017-kia-rio-1-4-sx-facelife-full-service-record-original-mileage-1-lady-owner-only/index.html,"48,888"
2018 MERCEDES-BENZ GLC 250 16K KM FS UW2022,https://www.motortrader.com.my/usedcar/19072000065/2018-mercedes-benz-glc-250-16k-km-fs-uw2022/index.html,"VOC RM 268,800"
2013 PROTON EXORA 1.6 BOLD (A) FULL SPEC 1 LADY OWNER,https://www.motortrader.com.my/usedcar/19051300047/2013-proton-exora-1-6-bold-a-full-spec-1-lady-owner/index.html,"28,800"
2017 FORD RANGER 2.2 XLT FACELIFT (A) FULL SERVICE RECORD 1 OWNER,https://www.motortrader.com.my/usedcar/19051800035/2017-ford-ranger-2-2-xlt-facelift-a-full-service-record-1-owner/index.html,"81,800"
2014 NISSAN NAVARA 2.5 (A) LE SPEC LEATHER SEAT ROLL BAR,https://www.motortrader.com.my/usedcar/19051300046/2014-nissan-navara-2-5-a-le-spec-leather-seat-roll-bar/index.html,"50,800"
2015 PERODUA MYVI  1.5 ADVANCE FACELIFT (A) LEATHER SEAT,https://www.motortrader.com.my/usedcar/19051700086/2015-perodua-myvi-1-5-advance-facelift-a-leather-seat/index.html,"36,800"
2017 FORD RANGER 2.2 XLT FACELIFT (A) FULL SERVICE RECORD 1 OWNER,https://www.motortrader.com.my/usedcar/19051800035/2017-ford-ranger-2-2-xlt-facelift-a-full-service-record-1-owner/index.html,"81,800"
2004 HONDA STREAM 2.0 FACELIFT (A) LEATHER SEAT,https://www.motortrader.com.my/usedcar/19051700065/2004-honda-stream-2-0-facelift-a-leather-seat/index.html,"26,800"
2012 PERODUA ALZA 1.5 EZi (A) 1 TEACHER OWNER,https://www.motortrader.com.my/usedcar/19051700056/2012-perodua-alza-1-5-ezi-a-1-teacher-owner/index.html,"28,800"
2008 TOYOTA VELLFIRE 3.5 V6 (A) POWER BOOT 1 DOCTOR OWNER,https://www.motortrader.com.my/usedcar/19010500036/2008-toyota-vellfire-3-5-v6-a-power-boot-1-doctor-owner/index.html,"79,800"
2016 HONDA JAZZ 1.5 (A) FULL SPEC FULL BODYKIT 1 OWNER,https://www.motortrader.com.my/usedcar/19021600034/2016-honda-jazz-1-5-a-full-spec-full-bodykit-1-owner/index.html,"52,800"
2012 TOYOTA HILUX 3.0 AUTO 4X4 4 -New Tyre Radar -Canopy,https://www.motortrader.com.my/usedcar/19031900189/2012-toyota-hilux-3-0-auto-4x4-4-new-tyre-radar-canopy/index.html,"VOC RM 62,800"
2004 TOYOTA RAV4 ACA20 2.0 (A)  2Door Import New,https://www.motortrader.com.my/usedcar/18122600083/2004-toyota-rav4-aca20-2-0-a-2door-import-new/index.html,"68,800"
2016 MERCEDES-BENZ C-CLASS C200 CGI BLUE EFFICIENCY AVANTGARDE,https://www.motortrader.com.my/usedcar/19070400161/2016-mercedes-benz-c-class-c200-cgi-blue-efficiency-avantgarde/index.html,"VOC RM 172,800"
2008 TOYOTA VELLFIRE 3.5V FACELIFT,https://www.motortrader.com.my/usedcar/19070500061/2008-toyota-vellfire-3-5v-facelift/index.html,"VOC RM 87,000 87,800"
2010 TOYOTA VIOS 1.5G (AT) G Spec Model -1 Owner -91Kkm Full Service record With Toyota,https://www.motortrader.com.my/usedcar/19030100027/2010-toyota-vios-1-5g-at-g-spec-model-1-owner-91kkm-full-service-record-with-toyota/index.html,"VOC RM 34,800"
2012 NISSAN TEANA 2.0L LUXURY -Max Loan -Leather Seat -New Tyre,https://www.motortrader.com.my/usedcar/19022800120/2012-nissan-teana-2-0l-luxury-max-loan-leather-seat-new-tyre/index.html,"VOC RM 46,800"
2008 HONDA CIVIC 1.8S AUTO I-VTEC DOCH / LEATHER SEAT / MUGEN BODYKIT / TIPTOP CONDITION,https://www.motortrader.com.my/usedcar/19061600038/2008-honda-civic-1-8s-auto-i-vtec-doch-leather-seat-mugen-bodykit-tiptop-condition/index.html,"39,800"
2013 TOYOTA VIOS FACELIFE 1.5 AUTO / VVTI ENGINE SAVE PETROL / TRD BODYKIT / TIPTOP CONDITION,https://www.motortrader.com.my/usedcar/19051100102/2013-toyota-vios-facelife-1-5-auto-vvti-engine-save-petrol-trd-bodykit-tiptop-condition/index.html,"48,800"
2014 PERODUA MYVI 1.3 (A) LAGI BEST / TIPTOP CONDITION / BLACKLIST CAN LOAN,https://www.motortrader.com.my/usedcar/19042000065/2014-perodua-myvi-1-3-a-lagi-best-tiptop-condition-blacklist-can-loan/index.html,"29,800"
2014 HONDA CITY 1.5E SPEC / PUSH START BUTTON / KEYLESS ENTRY / ORIGINAL MODULO BODYKITS / TIPTOP CONDITION / HIGH LOAN,https://www.motortrader.com.my/usedcar/19071700124/2014-honda-city-1-5e-spec-push-start-button-keyless-entry-original-modulo-bodykits-tiptop-condition-high-loan/index.html,"VOC RM 49,800"
2007 HONDA CIVIC 2.0S I-VTEC / PADDLE SHIFT / LEATHER SEAT / TYPE R BODYKIT / TIPTOP CONDITION,https://www.motortrader.com.my/usedcar/19051300077/2007-honda-civic-2-0s-i-vtec-paddle-shift-leather-seat-type-r-bodykit-tiptop-condition/index.html,"39,800"
2008 PERODUA MYVI 1.3 EZI AUTO TIPTOP CONDITION / BLACKLIST CAN LOAN,https://www.motortrader.com.my/usedcar/19060400004/2008-perodua-myvi-1-3-ezi-auto-tiptop-condition-blacklist-can-loan/index.html,"17,800"
2008 TOYOTA VIOS 1.5G SPEC (AT) VVTI ENGINE SAVE PETROL / TRD BODYKIT / TIPTOP CONDITION / BLACKLIST CAN LOAN,https://www.motortrader.com.my/usedcar/19061400001/2008-toyota-vios-1-5g-spec-at-vvti-engine-save-petrol-trd-bodykit-tiptop-condition-blacklist-can-loan/index.html,"26,800"
2014 TOYOTA VIOS 1.5 TRD SPORTIVO AUTO / PUSH START / LEATHER SEAT / ORIGINAL TRD BODYKIT / VVTI ENGINE SAVE PETROL / TIPTOP CONDITION,https://www.motortrader.com.my/usedcar/19061300094/2014-toyota-vios-1-5-trd-sportivo-auto-push-start-leather-seat-original-trd-bodykit-vvti-engine-save-petrol-tiptop-condition/index.html,"56,800"
2008 TOYOTA VIOS 1.5G SPEC (AT) VVTI ENGINE SAVE PETROL / TRD BODYKIT / TIPTOP CONDITION / BLACKLIST CAN LOAN,https://www.motortrader.com.my/usedcar/19061400001/2008-toyota-vios-1-5g-spec-at-vvti-engine-save-petrol-trd-bodykit-tiptop-condition-blacklist-can-loan/index.html,"26,800"
2016 HONDA CITY 1.5 AUTO I-VTEC ENGINE SAVE PETROL / FULL BODYKIT / ANDROID SYSTEM / TIPTOP CONDITION,https://www.motortrader.com.my/usedcar/19070900023/2016-honda-city-1-5-auto-i-vtec-engine-save-petrol-full-bodykit-android-system-tiptop-condition/index.html,"VOC RM 55,800"
2008 PERODUA MYVI FACELIFT 1.3 TIPTOP CONDITION / BLACKLIST CAN LOAN,https://www.motortrader.com.my/usedcar/19061700184/2008-perodua-myvi-facelift-1-3-tiptop-condition-blacklist-can-loan/index.html,"13,800"
2014 PERODUA MYVI 1.3 (A) LAGI BEST / TIPTOP CONDITION / BLACKLIST CAN LOAN,https://www.motortrader.com.my/usedcar/19042000065/2014-perodua-myvi-1-3-a-lagi-best-tiptop-condition-blacklist-can-loan/index.html,"29,800"
2008 HONDA CIVIC 1.8S AUTO I-VTEC DOCH / LEATHER SEAT / MUGEN BODYKIT / TIPTOP CONDITION,https://www.motortrader.com.my/usedcar/19061600038/2008-honda-civic-1-8s-auto-i-vtec-doch-leather-seat-mugen-bodykit-tiptop-condition/index.html,"39,800"
2013 VOLKSWAGEN PASSAT 1.8 TSI - FACELIFT - 7 SPEED - FULL SERVICE - WARRANTY - ALL ORIGINAL - PERFECT CONDITION - FULL LEATHER - MEGA SALE OFFER - DEAL SAMPAI JADI,https://www.motortrader.com.my/usedcar/19062500101/2013-volkswagen-passat-1-8-tsi-facelift-7-speed-full-service-warranty-all-original-perfect-condition-full-leather-mega-sale-offer-deal-sampai-jadi/index.html,"43,800"
2014 LAND ROVER EVOQUE Si4 2.0 Dyanamic -9Speed -Full Spec -full service record with Land Rover malaysia,https://www.motortrader.com.my/usedcar/19022800117/2014-land-rover-evoque-si4-2-0-dyanamic-9speed-full-spec-full-service-record-with-land-rover-malaysia/index.html,"VOC RM 176,800"
2015 PROTON PERSONA 1.6 SV (M) SPORTY - NICE RIMS - PERFECT CONDITION - ALL ORIGINAL PART - HOT DEAL PROMOTION - DEAL SAMPAI JADI,https://www.motortrader.com.my/usedcar/19061400082/2015-proton-persona-1-6-sv-m-sporty-nice-rims-perfect-condition-all-original-part-hot-deal-promotion-deal-sampai-jadi/index.html,"16,000"
2008 MERCEDES-BENZ E-CLASS E200K,https://www.motortrader.com.my/usedcar/19070300644/2008-mercedes-benz-e-class-e200k/index.html,"VOC RM 46,800"
2009 TOYOTA ESTIMA 2.4AERAS G EDITION,https://www.motortrader.com.my/usedcar/18122700044/2009-toyota-estima-2-4aeras-g-edition/index.html,"VOC RM 82,800"
2015 MERCEDES-BENZ C-CLASS C250 EXCLUSIVE,https://www.motortrader.com.my/usedcar/19050400097/2015-mercedes-benz-c-class-c250-exclusive/index.html,"173,800"
2018 MERCEDES-BENZ GLC 250 AMG 4 Matic Done 16k km,https://www.motortrader.com.my/usedcar/19072000047/2018-mercedes-benz-glc-250-amg-4-matic-done-16k-km/index.html,"VOC RM 268,800"
2006 BMW 3 SERIES 325i E90 2.5 (A) 215Bhp -UK SPEC -1 Owner,https://www.motortrader.com.my/usedcar/19030100039/2006-bmw-3-series-325i-e90-2-5-a-215bhp-uk-spec-1-owner/index.html,"VOC RM 29,800"
2008 TOYOTA VELLFIRE 3.5 VL 2008/09,https://www.motortrader.com.my/usedcar/19071300078/2008-toyota-vellfire-3-5-vl-2008-09/index.html,"VOC RM 95,800"
